locus_tag	ftype	gene	EC_number	product
DBLOAMIM_00642	CDS			hypothetical protein
DBLOAMIM_00642	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00643	tRNA			tRNA-Glu(ttc)
DBLOAMIM_00643	gene			
DBLOAMIM_00644	CDS	sucC_1	6.2.1.4	Succinate--CoA ligase [GDP-forming] subunit beta
DBLOAMIM_00644	gene	sucC_1		
DBLOAMIM_00645	CDS	sucD_1	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit alpha
DBLOAMIM_00645	gene	sucD_1		
DBLOAMIM_00646	CDS			hypothetical protein
DBLOAMIM_00646	gene			
DBLOAMIM_00647	CDS	dmdA	4.2.1.85	2,3-dimethylmalate dehydratase large subunit
DBLOAMIM_00647	gene	dmdA		
DBLOAMIM_00648	CDS	citA	2.3.3.16	Citrate synthase 1
DBLOAMIM_00648	gene	citA		
DBLOAMIM_00649	CDS			hypothetical protein
DBLOAMIM_00649	gene			
DBLOAMIM_00650	CDS			hypothetical protein
DBLOAMIM_00650	gene			
DBLOAMIM_00651	CDS	frdA	1.3.5.4	Fumarate reductase flavoprotein subunit
DBLOAMIM_00651	gene	frdA		
DBLOAMIM_00652	CDS	sucC_2	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit beta
DBLOAMIM_00652	gene	sucC_2		
DBLOAMIM_00653	CDS	sucD_2	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit alpha
DBLOAMIM_00653	gene	sucD_2		
DBLOAMIM_00654	CDS		1.11.1.15	Putative peroxiredoxin
DBLOAMIM_00654	gene			
DBLOAMIM_00655	CDS			hypothetical protein
DBLOAMIM_00655	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00656	CDS			hypothetical protein
DBLOAMIM_00656	gene			
DBLOAMIM_00657	CDS	mraZ		Transcriptional regulator MraZ
DBLOAMIM_00657	gene	mraZ		
DBLOAMIM_00658	CDS	rsmH	2.1.1.199	Ribosomal RNA small subunit methyltransferase H
DBLOAMIM_00658	gene	rsmH		
DBLOAMIM_00659	CDS			hypothetical protein
DBLOAMIM_00659	gene			
DBLOAMIM_00660	CDS	spoVD		Stage V sporulation protein D
DBLOAMIM_00660	gene	spoVD		
DBLOAMIM_00661	CDS	murE	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
DBLOAMIM_00661	gene	murE		
DBLOAMIM_00662	CDS	murF	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
DBLOAMIM_00662	gene	murF		
DBLOAMIM_00663	CDS	mraY	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase
DBLOAMIM_00663	gene	mraY		
DBLOAMIM_00664	CDS	murD	6.3.2.9	UDP-N-acetylmuramoylalanine--D-glutamate ligase
DBLOAMIM_00664	gene	murD		
DBLOAMIM_00665	CDS	ftsW	2.4.1.129	putative peptidoglycan glycosyltransferase FtsW
DBLOAMIM_00665	gene	ftsW		
DBLOAMIM_00666	CDS	murG	2.4.1.227	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
DBLOAMIM_00666	gene	murG		
DBLOAMIM_00667	CDS	murC	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase
DBLOAMIM_00667	gene	murC		
DBLOAMIM_00668	CDS	murB	1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase
DBLOAMIM_00668	gene	murB		
DBLOAMIM_00669	CDS	ddl	6.3.2.4	D-alanine--D-alanine ligase
DBLOAMIM_00669	gene	ddl		
DBLOAMIM_00670	CDS			hypothetical protein
DBLOAMIM_00670	gene			
DBLOAMIM_00671	CDS	ftsA		Cell division protein FtsA
DBLOAMIM_00671	gene	ftsA		
DBLOAMIM_00672	CDS	ftsZ		Cell division protein FtsZ
DBLOAMIM_00672	gene	ftsZ		
DBLOAMIM_00673	CDS	yfiH		Laccase domain protein YfiH
DBLOAMIM_00673	gene	yfiH		
DBLOAMIM_00674	CDS			hypothetical protein
DBLOAMIM_00674	gene			
DBLOAMIM_00675	CDS	proC	1.5.1.2	Pyrroline-5-carboxylate reductase
DBLOAMIM_00675	gene	proC		
DBLOAMIM_00676	CDS			hypothetical protein
DBLOAMIM_00676	gene			
DBLOAMIM_00677	CDS			hypothetical protein
DBLOAMIM_00677	gene			
DBLOAMIM_00678	CDS			hypothetical protein
DBLOAMIM_00678	gene			
DBLOAMIM_00679	CDS			hypothetical protein
DBLOAMIM_00679	gene			
DBLOAMIM_00680	CDS			hypothetical protein
DBLOAMIM_00680	gene			
DBLOAMIM_00681	CDS	shc	4.2.1.129	Squalene--hopene cyclase
DBLOAMIM_00681	gene	shc		
DBLOAMIM_00682	CDS			hypothetical protein
DBLOAMIM_00682	gene			
DBLOAMIM_00683	CDS			hypothetical protein
DBLOAMIM_00683	gene			
DBLOAMIM_00684	CDS			hypothetical protein
DBLOAMIM_00684	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00685	CDS	gnu	5.1.3.26	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
DBLOAMIM_00685	gene	gnu		
DBLOAMIM_00686	CDS	ispH1	1.17.7.4	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1
DBLOAMIM_00686	gene	ispH1		
DBLOAMIM_00687	CDS	fom3_1	2.1.1.308	2-hydroxyethylphosphonate methyltransferase
DBLOAMIM_00687	gene	fom3_1		
DBLOAMIM_00688	CDS			hypothetical protein
DBLOAMIM_00688	gene			
DBLOAMIM_00689	CDS	arnE_1		4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
DBLOAMIM_00689	gene	arnE_1		
DBLOAMIM_00690	CDS			hypothetical protein
DBLOAMIM_00690	gene			
DBLOAMIM_00691	CDS	cbiX	4.99.1.3	Sirohydrochlorin cobaltochelatase
DBLOAMIM_00691	gene	cbiX		
DBLOAMIM_00692	CDS	hemE	4.1.1.37	Uroporphyrinogen decarboxylase
DBLOAMIM_00692	gene	hemE		
DBLOAMIM_00693	CDS	hemN_1	1.3.98.3	Oxygen-independent coproporphyrinogen III oxidase
DBLOAMIM_00693	gene	hemN_1		
DBLOAMIM_00694	CDS			hypothetical protein
DBLOAMIM_00694	gene			
DBLOAMIM_00695	tRNA			tRNA-Ala(ggc)
DBLOAMIM_00695	gene			
DBLOAMIM_00696	CDS			hypothetical protein
DBLOAMIM_00696	gene			
DBLOAMIM_00697	CDS			hypothetical protein
DBLOAMIM_00697	gene			
DBLOAMIM_00698	CDS			hypothetical protein
DBLOAMIM_00698	gene			
DBLOAMIM_00699	CDS			hypothetical protein
DBLOAMIM_00699	gene			
DBLOAMIM_00700	CDS			hypothetical protein
DBLOAMIM_00700	gene			
DBLOAMIM_00701	CDS			hypothetical protein
DBLOAMIM_00701	gene			
DBLOAMIM_00702	CDS			hypothetical protein
DBLOAMIM_00702	gene			
DBLOAMIM_00703	CDS			hypothetical protein
DBLOAMIM_00703	gene			
DBLOAMIM_00704	CDS			hypothetical protein
DBLOAMIM_00704	gene			
DBLOAMIM_00705	CDS	traC	2.7.7.-	DNA primase TraC
DBLOAMIM_00705	gene	traC		
DBLOAMIM_00706	CDS			hypothetical protein
DBLOAMIM_00706	gene			
DBLOAMIM_00707	CDS			hypothetical protein
DBLOAMIM_00707	gene			
DBLOAMIM_00708	CDS	intS		Prophage integrase IntS
DBLOAMIM_00708	gene	intS		
DBLOAMIM_00709	CDS	metK	2.5.1.6	S-adenosylmethionine synthase
DBLOAMIM_00709	gene	metK		
DBLOAMIM_00710	CDS	ahcY	3.3.1.1	Adenosylhomocysteinase
DBLOAMIM_00710	gene	ahcY		
DBLOAMIM_00711	CDS			hypothetical protein
DBLOAMIM_00711	gene			
DBLOAMIM_00712	CDS	cysK	2.5.1.47	Cysteine synthase
DBLOAMIM_00712	gene	cysK		
DBLOAMIM_00713	CDS	moeZ_2		putative adenylyltransferase/sulfurtransferase MoeZ
DBLOAMIM_00713	gene	moeZ_2		
DBLOAMIM_00714	CDS	thrC_1	4.2.3.1	Threonine synthase
DBLOAMIM_00714	gene	thrC_1		
DBLOAMIM_00715	CDS	cysO		Sulfur carrier protein CysO
DBLOAMIM_00715	gene	cysO		
DBLOAMIM_00716	CDS			hypothetical protein
DBLOAMIM_00716	gene			
DBLOAMIM_00717	CDS	moeZ_3		putative adenylyltransferase/sulfurtransferase MoeZ
DBLOAMIM_00717	gene	moeZ_3		
DBLOAMIM_00718	CDS	mec	3.4.17.-	CysO-cysteine peptidase
DBLOAMIM_00718	gene	mec		
DBLOAMIM_00719	CDS	phoP_1		Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
DBLOAMIM_00719	gene	phoP_1		
DBLOAMIM_00720	CDS	phoR_1	2.7.13.3	Alkaline phosphatase synthesis sensor protein PhoR
DBLOAMIM_00720	gene	phoR_1		
DBLOAMIM_00721	CDS	galE	5.1.3.2	UDP-glucose 4-epimerase
DBLOAMIM_00721	gene	galE		
DBLOAMIM_00722	CDS	nfo_1	3.1.21.2	putative endonuclease 4
DBLOAMIM_00722	gene	nfo_1		
DBLOAMIM_00723	CDS	nfo_2	3.1.21.2	Endonuclease 4
DBLOAMIM_00723	gene	nfo_2		
DBLOAMIM_00724	CDS	mlaE_1		putative phospholipid ABC transporter permease protein MlaE
DBLOAMIM_00724	gene	mlaE_1		
DBLOAMIM_00725	CDS	mlaF_1	3.6.3.-	putative phospholipid import ATP-binding protein MlaF
DBLOAMIM_00725	gene	mlaF_1		
DBLOAMIM_00726	CDS			hypothetical protein
DBLOAMIM_00726	gene			
DBLOAMIM_00727	CDS	cpdA_1	3.1.4.53	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
DBLOAMIM_00727	gene	cpdA_1		
DBLOAMIM_00728	CDS			hypothetical protein
DBLOAMIM_00728	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00729	CDS			putative signaling protein
DBLOAMIM_00729	gene			
DBLOAMIM_00730	CDS	pdxA2	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase 2
DBLOAMIM_00730	gene	pdxA2		
DBLOAMIM_00731	CDS	fieF		Ferrous-iron efflux pump FieF
DBLOAMIM_00731	gene	fieF		
DBLOAMIM_00732	CDS	uvrA		UvrABC system protein A
DBLOAMIM_00732	gene	uvrA		
DBLOAMIM_00733	CDS	lolA		Outer-membrane lipoprotein carrier protein
DBLOAMIM_00733	gene	lolA		
DBLOAMIM_00734	CDS	ftsK		DNA translocase FtsK
DBLOAMIM_00734	gene	ftsK		
DBLOAMIM_00735	CDS	rnj1	3.1.-.-	Ribonuclease J 1
DBLOAMIM_00735	gene	rnj1		
DBLOAMIM_00736	CDS	rsmA	2.1.1.182	Ribosomal RNA small subunit methyltransferase A
DBLOAMIM_00736	gene	rsmA		
DBLOAMIM_00737	CDS			hypothetical protein
DBLOAMIM_00737	gene			
DBLOAMIM_00738	CDS	slt	4.2.2.-	Soluble lytic murein transglycosylase
DBLOAMIM_00738	gene	slt		
DBLOAMIM_00739	CDS			hypothetical protein
DBLOAMIM_00739	gene			
DBLOAMIM_00740	CDS			hypothetical protein
DBLOAMIM_00740	gene			
DBLOAMIM_00741	misc_RNA			6S
DBLOAMIM_00741	gene			
DBLOAMIM_00742	CDS			putative AAA domain-containing protein
DBLOAMIM_00742	gene			
DBLOAMIM_00743	CDS	rny	3.1.-.-	Ribonuclease Y
DBLOAMIM_00743	gene	rny		
DBLOAMIM_00744	CDS			hypothetical protein
DBLOAMIM_00744	gene			
DBLOAMIM_00745	CDS	xseA	3.1.11.6	Exodeoxyribonuclease 7 large subunit
DBLOAMIM_00745	gene	xseA		
DBLOAMIM_00746	CDS	xseB	3.1.11.6	Exodeoxyribonuclease 7 small subunit
DBLOAMIM_00746	gene	xseB		
DBLOAMIM_00747	CDS		2.5.1.10	Farnesyl diphosphate synthase
DBLOAMIM_00747	gene			
DBLOAMIM_00748	CDS	dxs	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
DBLOAMIM_00748	gene	dxs		
DBLOAMIM_00749	CDS	tlyA	2.1.1.226	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
DBLOAMIM_00749	gene	tlyA		
DBLOAMIM_00750	CDS		5.1.3.2	UDP-glucose 4-epimerase
DBLOAMIM_00750	gene			
DBLOAMIM_00751	CDS	cutA		Divalent-cation tolerance protein CutA
DBLOAMIM_00751	gene	cutA		
DBLOAMIM_00752	CDS	mepM_2	3.4.24.-	Murein DD-endopeptidase MepM
DBLOAMIM_00752	gene	mepM_2		
DBLOAMIM_00753	CDS	secA		Protein translocase subunit SecA
DBLOAMIM_00753	gene	secA		
DBLOAMIM_00754	CDS	ndhC	1.6.5.-	NAD(P)H-quinone oxidoreductase subunit 3
DBLOAMIM_00754	gene	ndhC		
DBLOAMIM_00755	CDS	nuoB	1.6.5.11	NADH-quinone oxidoreductase subunit B
DBLOAMIM_00755	gene	nuoB		
DBLOAMIM_00756	CDS	nqo5	1.6.5.11	NADH-quinone oxidoreductase chain 5
DBLOAMIM_00756	gene	nqo5		
DBLOAMIM_00757	CDS	nqo4	1.6.5.11	NADH-quinone oxidoreductase subunit 4
DBLOAMIM_00757	gene	nqo4		
DBLOAMIM_00758	CDS	hndA	1.12.1.3	NADP-reducing hydrogenase subunit HndA
DBLOAMIM_00758	gene	hndA		
DBLOAMIM_00759	CDS	hndC_1	1.12.1.3	NADP-reducing hydrogenase subunit HndC
DBLOAMIM_00759	gene	hndC_1		
DBLOAMIM_00760	CDS	hndC_2	1.12.1.3	NADP-reducing hydrogenase subunit HndC
DBLOAMIM_00760	gene	hndC_2		
DBLOAMIM_00761	CDS	sfrA	1.-.-.-	NADPH-Fe(3+) oxidoreductase subunit alpha
DBLOAMIM_00761	gene	sfrA		
DBLOAMIM_00762	CDS	nuoH	1.6.5.11	NADH-quinone oxidoreductase subunit H
DBLOAMIM_00762	gene	nuoH		
DBLOAMIM_00763	CDS	nuoI	1.6.5.11	NADH-quinone oxidoreductase subunit I
DBLOAMIM_00763	gene	nuoI		
DBLOAMIM_00764	CDS	nuoJ	1.6.5.11	NADH-quinone oxidoreductase subunit J
DBLOAMIM_00764	gene	nuoJ		
DBLOAMIM_00765	CDS		1.6.5.11	NADH-quinone oxidoreductase subunit 11
DBLOAMIM_00765	gene			
DBLOAMIM_00766	CDS	nuoL_1	1.6.5.11	NADH-quinone oxidoreductase subunit L
DBLOAMIM_00766	gene	nuoL_1		
DBLOAMIM_00767	CDS	nuoM	1.6.5.11	NADH-quinone oxidoreductase subunit M
DBLOAMIM_00767	gene	nuoM		
DBLOAMIM_00768	CDS	nuoN	1.6.5.11	NADH-quinone oxidoreductase subunit N
DBLOAMIM_00768	gene	nuoN		
DBLOAMIM_00769	CDS	lexA_1	3.4.21.88	LexA repressor
DBLOAMIM_00769	gene	lexA_1		
DBLOAMIM_00770	CDS			hypothetical protein
DBLOAMIM_00770	gene			
DBLOAMIM_00771	CDS	nrgA		Ammonium transporter NrgA
DBLOAMIM_00771	gene	nrgA		
DBLOAMIM_00772	CDS	glnB_2		Nitrogen regulatory protein P-II
DBLOAMIM_00772	gene	glnB_2		
DBLOAMIM_00773	CDS	rapA_1	3.6.4.-	RNA polymerase-associated protein RapA
DBLOAMIM_00773	gene	rapA_1		
DBLOAMIM_00774	CDS		1.5.5.2	Proline dehydrogenase
DBLOAMIM_00774	gene			
DBLOAMIM_00775	CDS			putative Fe(2+)-trafficking protein
DBLOAMIM_00775	gene			
DBLOAMIM_00776	CDS			hypothetical protein
DBLOAMIM_00776	gene			
DBLOAMIM_00777	CDS	gmr_2	3.1.4.52	Cyclic di-GMP phosphodiesterase Gmr
DBLOAMIM_00777	gene	gmr_2		
DBLOAMIM_00778	CDS			hypothetical protein
DBLOAMIM_00778	gene			
DBLOAMIM_00779	CDS			hypothetical protein
DBLOAMIM_00779	gene			
DBLOAMIM_00780	CDS			hypothetical protein
DBLOAMIM_00780	gene			
DBLOAMIM_00781	CDS	bepA_4	3.4.-.-	Beta-barrel assembly-enhancing protease
DBLOAMIM_00781	gene	bepA_4		
DBLOAMIM_00782	CDS	pleD_2		Response regulator PleD
DBLOAMIM_00782	gene	pleD_2		
DBLOAMIM_00783	CDS			hypothetical protein
DBLOAMIM_00783	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00784	CDS	bepA_5	3.4.-.-	Beta-barrel assembly-enhancing protease
DBLOAMIM_00784	gene	bepA_5		
DBLOAMIM_00785	CDS			hypothetical protein
DBLOAMIM_00785	gene			
DBLOAMIM_00786	CDS			hypothetical protein
DBLOAMIM_00786	gene			
DBLOAMIM_00787	CDS			hypothetical protein
DBLOAMIM_00787	gene			
DBLOAMIM_00788	CDS			hypothetical protein
DBLOAMIM_00788	gene			
DBLOAMIM_00789	CDS	xcpT		Type II secretion system protein G
DBLOAMIM_00789	gene	xcpT		
DBLOAMIM_00790	CDS	epsF		Type II secretion system protein F
DBLOAMIM_00790	gene	epsF		
DBLOAMIM_00791	CDS	epsE_2		Type II secretion system protein E
DBLOAMIM_00791	gene	epsE_2		
DBLOAMIM_00792	CDS	xcpQ_1		Type II secretion system protein D
DBLOAMIM_00792	gene	xcpQ_1		
DBLOAMIM_00793	CDS			hypothetical protein
DBLOAMIM_00793	gene			
DBLOAMIM_00794	CDS			hypothetical protein
DBLOAMIM_00794	gene			
DBLOAMIM_00795	tRNA			tRNA-Gly(ccc)
DBLOAMIM_00795	gene			
DBLOAMIM_00796	CDS			hypothetical protein
DBLOAMIM_00796	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00797	CDS			hypothetical protein
DBLOAMIM_00797	gene			
DBLOAMIM_00798	CDS	tsdA_1	1.8.2.2	Thiosulfate dehydrogenase
DBLOAMIM_00798	gene	tsdA_1		
DBLOAMIM_00799	CDS	tsdA_2	1.8.2.2	Thiosulfate dehydrogenase
DBLOAMIM_00799	gene	tsdA_2		
DBLOAMIM_00800	CDS	cc4_1		Cytochrome c4
DBLOAMIM_00800	gene	cc4_1		
DBLOAMIM_00801	CDS			putative signaling protein
DBLOAMIM_00801	gene			
DBLOAMIM_00802	CDS			hypothetical protein
DBLOAMIM_00802	gene			
DBLOAMIM_00803	CDS			hypothetical protein
DBLOAMIM_00803	gene			
DBLOAMIM_00804	CDS			hypothetical protein
DBLOAMIM_00804	gene			
DBLOAMIM_00805	CDS			hypothetical protein
DBLOAMIM_00805	gene			
DBLOAMIM_00806	CDS	acsC		Cellulose synthase operon protein C
DBLOAMIM_00806	gene	acsC		
DBLOAMIM_00807	CDS	bcsB		Cyclic di-GMP-binding protein
DBLOAMIM_00807	gene	bcsB		
DBLOAMIM_00808	CDS	bcsA_1	2.4.1.12	Cellulose synthase catalytic subunit [UDP-forming]
DBLOAMIM_00808	gene	bcsA_1		
DBLOAMIM_00809	CDS	cc4_2		Cytochrome c4
	sig_peptide			putative signal peptide
DBLOAMIM_00809	gene	cc4_2		
DBLOAMIM_00810	CDS	tsdA_3	1.8.2.2	Thiosulfate dehydrogenase
DBLOAMIM_00810	gene	tsdA_3		
DBLOAMIM_00811	CDS	polB	2.7.7.7	DNA polymerase II
DBLOAMIM_00811	gene	polB		
DBLOAMIM_00812	CDS			hypothetical protein
DBLOAMIM_00812	gene			
DBLOAMIM_00813	CDS			hypothetical protein
DBLOAMIM_00813	gene			
DBLOAMIM_00814	CDS	lexA_2	3.4.21.88	LexA repressor
DBLOAMIM_00814	gene	lexA_2		
DBLOAMIM_00815	CDS	pgi	5.3.1.9	Glucose-6-phosphate isomerase
DBLOAMIM_00815	gene	pgi		
DBLOAMIM_00816	CDS			hypothetical protein
DBLOAMIM_00816	gene			
DBLOAMIM_00817	CDS			hypothetical protein
DBLOAMIM_00817	gene			
DBLOAMIM_00818	CDS	mdtC_1		Multidrug resistance protein MdtC
DBLOAMIM_00818	gene	mdtC_1		
DBLOAMIM_00819	CDS			hypothetical protein
DBLOAMIM_00819	gene			
DBLOAMIM_00820	CDS			hypothetical protein
DBLOAMIM_00820	gene			
DBLOAMIM_00821	CDS			hypothetical protein
DBLOAMIM_00821	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00822	CDS	arsB		Arsenical pump membrane protein
DBLOAMIM_00822	gene	arsB		
DBLOAMIM_00823	CDS	arsC	1.20.4.1	Glutaredoxin arsenate reductase
DBLOAMIM_00823	gene	arsC		
DBLOAMIM_00824	CDS			hypothetical protein
DBLOAMIM_00824	gene			
DBLOAMIM_00825	CDS			hypothetical protein
	sig_peptide			putative signal peptide
DBLOAMIM_00825	gene			
DBLOAMIM_00826	CDS			hypothetical protein
DBLOAMIM_00826	gene			
DBLOAMIM_00827	CDS			hypothetical protein
DBLOAMIM_00827	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00828	CDS			hypothetical protein
DBLOAMIM_00828	gene			
DBLOAMIM_00829	CDS	efeU		Ferrous iron permease EfeU
DBLOAMIM_00829	gene	efeU		
DBLOAMIM_00830	CDS		3.1.-.-	Ribonuclease
DBLOAMIM_00830	gene			
DBLOAMIM_00831	CDS	lcfB	6.2.1.3	Long-chain-fatty-acid--CoA ligase
DBLOAMIM_00831	gene	lcfB		
DBLOAMIM_00832	CDS			hypothetical protein
DBLOAMIM_00832	gene			
DBLOAMIM_00833	CDS	nsrR		HTH-type transcriptional repressor NsrR
DBLOAMIM_00833	gene	nsrR		
DBLOAMIM_00834	CDS			hypothetical protein
DBLOAMIM_00834	gene			
DBLOAMIM_00835	CDS			hypothetical protein
DBLOAMIM_00835	gene			
DBLOAMIM_00836	CDS			hypothetical protein
DBLOAMIM_00836	gene			
DBLOAMIM_00837	CDS			hypothetical protein
	sig_peptide			putative signal peptide
DBLOAMIM_00837	gene			
DBLOAMIM_00838	CDS			hypothetical protein
DBLOAMIM_00838	gene			
DBLOAMIM_00839	CDS	vhb		Bacterial hemoglobin
DBLOAMIM_00839	gene	vhb		
DBLOAMIM_00840	CDS	algC	5.4.2.2	Phosphomannomutase/phosphoglucomutase
DBLOAMIM_00840	gene	algC		
DBLOAMIM_00841	CDS	algA		Alginate biosynthesis protein AlgA
DBLOAMIM_00841	gene	algA		
DBLOAMIM_00842	CDS			hypothetical protein
DBLOAMIM_00842	gene			
DBLOAMIM_00843	CDS			hypothetical protein
DBLOAMIM_00843	gene			
DBLOAMIM_00844	CDS	fabG_1	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
DBLOAMIM_00844	gene	fabG_1		
DBLOAMIM_00845	CDS	era_1		GTPase Era
DBLOAMIM_00845	gene	era_1		
DBLOAMIM_00846	CDS	era_2		GTPase Era
DBLOAMIM_00846	gene	era_2		
DBLOAMIM_00847	CDS	recO		DNA repair protein RecO
DBLOAMIM_00847	gene	recO		
DBLOAMIM_00848	CDS			hypothetical protein
DBLOAMIM_00848	gene			
DBLOAMIM_00849	CDS			hypothetical protein
DBLOAMIM_00849	gene			
DBLOAMIM_00850	CDS	rlmI	2.1.1.191	Ribosomal RNA large subunit methyltransferase I
DBLOAMIM_00850	gene	rlmI		
DBLOAMIM_00851	CDS	typA		GTP-binding protein TypA/BipA
DBLOAMIM_00851	gene	typA		
DBLOAMIM_00852	CDS	cypB	5.2.1.8	Peptidyl-prolyl cis-trans isomerase B
DBLOAMIM_00852	gene	cypB		
DBLOAMIM_00853	CDS	pqqB		Coenzyme PQQ synthesis protein B
DBLOAMIM_00853	gene	pqqB		
DBLOAMIM_00854	CDS	metH	2.1.1.13	Methionine synthase
DBLOAMIM_00854	gene	metH		
DBLOAMIM_00855	CDS			hypothetical protein
DBLOAMIM_00855	gene			
DBLOAMIM_00856	CDS	thiC	4.1.99.17	Phosphomethylpyrimidine synthase
DBLOAMIM_00856	gene	thiC		
DBLOAMIM_00857	CDS			hypothetical protein
DBLOAMIM_00857	gene			
DBLOAMIM_00858	CDS	clpB_1		Chaperone protein ClpB
DBLOAMIM_00858	gene	clpB_1		
DBLOAMIM_00859	CDS	uvrC		UvrABC system protein C
DBLOAMIM_00859	gene	uvrC		
DBLOAMIM_00860	CDS			hypothetical protein
DBLOAMIM_00860	gene			
DBLOAMIM_00861	CDS	aroE	1.1.1.25	Shikimate dehydrogenase (NADP(+))
DBLOAMIM_00861	gene	aroE		
DBLOAMIM_00862	CDS	ftsY		Signal recognition particle receptor FtsY
DBLOAMIM_00862	gene	ftsY		
DBLOAMIM_00863	CDS	ybeY	3.1.-.-	Endoribonuclease YbeY
DBLOAMIM_00863	gene	ybeY		
DBLOAMIM_00864	CDS	pgpH	3.1.4.-	Cyclic-di-AMP phosphodiesterase PgpH
DBLOAMIM_00864	gene	pgpH		
DBLOAMIM_00865	CDS			PhoH-like protein
DBLOAMIM_00865	gene			
DBLOAMIM_00866	CDS			hypothetical protein
DBLOAMIM_00866	gene			
DBLOAMIM_00867	CDS	pppA		Leader peptidase PppA
DBLOAMIM_00867	gene	pppA		
DBLOAMIM_00868	CDS			hypothetical protein
DBLOAMIM_00868	gene			
DBLOAMIM_00869	CDS			hypothetical protein
DBLOAMIM_00869	gene			
DBLOAMIM_00870	CDS	bdbD		Disulfide bond formation protein D
DBLOAMIM_00870	gene	bdbD		
DBLOAMIM_00871	tRNA			tRNA-Thr(tgt)
DBLOAMIM_00871	gene			
DBLOAMIM_00872	CDS	cheV		Chemotaxis protein CheV
DBLOAMIM_00872	gene	cheV		
DBLOAMIM_00873	CDS			hypothetical protein
DBLOAMIM_00873	gene			
DBLOAMIM_00874	CDS			hypothetical protein
DBLOAMIM_00874	gene			
DBLOAMIM_00875	CDS	nusA		Transcription termination/antitermination protein NusA
DBLOAMIM_00875	gene	nusA		
DBLOAMIM_00876	CDS	infB		Translation initiation factor IF-2
DBLOAMIM_00876	gene	infB		
DBLOAMIM_00877	CDS			hypothetical protein
DBLOAMIM_00877	gene			
DBLOAMIM_00878	CDS	rbfA		Ribosome-binding factor A
DBLOAMIM_00878	gene	rbfA		
DBLOAMIM_00879	CDS	truB	5.4.99.25	tRNA pseudouridine synthase B
DBLOAMIM_00879	gene	truB		
DBLOAMIM_00880	CDS	rpsO		30S ribosomal protein S15
DBLOAMIM_00880	gene	rpsO		
DBLOAMIM_00881	CDS	pnp	2.7.7.8	Polyribonucleotide nucleotidyltransferase
DBLOAMIM_00881	gene	pnp		
DBLOAMIM_00882	CDS			hypothetical protein
DBLOAMIM_00882	gene			
DBLOAMIM_00883	CDS		3.4.24.-	putative zinc protease
DBLOAMIM_00883	gene			
DBLOAMIM_00884	CDS	pdxJ	2.6.99.2	Pyridoxine 5'-phosphate synthase
DBLOAMIM_00884	gene	pdxJ		
DBLOAMIM_00885	CDS	acpS	2.7.8.7	Holo-[acyl-carrier-protein] synthase
DBLOAMIM_00885	gene	acpS		
DBLOAMIM_00886	CDS	nnr		Bifunctional NAD(P)H-hydrate repair enzyme Nnr
DBLOAMIM_00886	gene	nnr		
DBLOAMIM_00887	CDS			hypothetical protein
DBLOAMIM_00887	gene			
DBLOAMIM_00888	CDS			hypothetical protein
DBLOAMIM_00888	gene			
DBLOAMIM_00889	CDS	mutS		DNA mismatch repair protein MutS
DBLOAMIM_00889	gene	mutS		
DBLOAMIM_00890	CDS			hypothetical protein
DBLOAMIM_00890	gene			
DBLOAMIM_00891	CDS			hypothetical protein
	sig_peptide			putative signal peptide
DBLOAMIM_00891	gene			
DBLOAMIM_00892	CDS	fabI	1.3.1.9	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
DBLOAMIM_00892	gene	fabI		
DBLOAMIM_00893	CDS	petC	1.10.9.1	Cytochrome b6-f complex iron-sulfur subunit
DBLOAMIM_00893	gene	petC		
DBLOAMIM_00894	CDS	petB_1		Cytochrome b6
